Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Turkey,United States,Japan
327,490,499,160,,,88,551,2258,,272,2395,15,167,268,5,278,11,327,190,2740,289,898,68,486,264,287,1611,,79,,6316,3090
314,523,499,137,,109,87,577,2214,,275,2644,16,167,266,5,289,11,336,205,2882,283,900,67,493,284,290,1643,,83,,6285,3270
298,547,484,128,,103,86,545,2160,,279,2657,16,164,266,4,288,11,334,200,2943,265,878,66,493,282,271,1611,,78,,6069,3490
295,560,467,121,,101,91,520,2098,,280,2572,16,159,266,4,278,10,307,160,2902,256,862,67,481,283,261,1552,,75,,5211,3450
283,561,455,118,,90,88,522,2052,,278,2372,15,155,267,4,264,10,300,119,2827,249,851,66,482,322,245,1521,,75,,5459,3290
276,554,428,116,,87,92,496,2042,,273,2426,15,153,270,4,251,9,300,113,2758,242,864,65,499,280,273,1541,,77,,5959,3210
303,558,451,115,,90,91,485,2045,,279,2569,16,153,280,4,247,10,268,118,2711,248,863,66,516,210,262,1584,,81,,6028,3070
323,569,451,121,,99,87,512,2060,,283,2287,15,153,282,4,244,10,269,129,2664,263,867,64,471,219,258,1608,,80,,5864,3100
314,574,429,116,,100,77,497,2074,,291,2097,13,154,279,4,239,10,280,142,2659,271,865,62,456,234,227,1582,,75,,5359,3190
310,583,432,111,,101,71,467,2087,,298,2379,12,155,275,4,235,10,280,135,2666,266,891,62,451,225,223,1523,,70,,5152,3130
295,597,438,111,,103,68,519,2069,,302,2275,15,156,278,4,230,11,275,133,2745,251,886,61,467,224,231,1449,,68,,5336,3100
285,613,421,113,,102,71,510,1983,,301,2222,15,158,285,4,231,11,249,142,2873,259,876,61,488,210,209,1419,,75,,5265,2970
274,643,447,134,,101,73,502,1960,,304,2148,15,161,296,4,241,11,269,159,3074,263,911,63,524,248,291,1438,,80,,6647,3170
265,674,445,132,,95,73,527,1961,,303,2357,13,160,299,4,251,12,272,171,3168,276,892,61,518,248,278,1439,,81,,6524,3180
262,686,418,128,,95,73,497,1924,,299,2356,12,156,297,4,250,12,268,177,3232,272,864,60,514,247,280,1390,,76,,6509,3440
272,703,418,120,,91,75,479,1862,,291,2273,12,149,287,3,240,12,246,164,3240,267,820,57,508,267,264,1320,,73,,6004,3480
269,693,402,115,,88,76,481,1870,,280,2101,12,144,276,3,230,12,241,135,3200,259,795,55,499,304,275,1360,,81,,5901,3470
257,673,403,119,,81,83,456,1836,,270,2159,14,142,270,3,223,11,244,130,3179,257,785,53,509,256,326,1463,,87,,6816,3390
269,668,419,126,,88,89,450,1836,,270,2303,14,141,268,3,223,12,221,130,3145,261,780,56,512,204,263,1539,,88,,6858,3300
281,663,433,141,,86,91,476,1885,,269,2069,12,141,269,3,221,13,225,139,3118,268,792,57,504,207,253,1551,,84,,7016,3370
298,651,421,138,,90,83,462,1889,,273,1919,11,141,274,4,217,13,241,152,3108,274,792,60,490,223,248,1512,,83,,6767,3570
326,653,388,137,,81,80,473,1915,,277,2209,11,147,283,4,214,13,249,149,3103,277,822,65,485,214,258,1489,,82,,7176,3520
324,667,405,134,,84,80,527,1952,,277,2122,13,148,291,4,211,13,253,152,3171,276,839,68,490,226,243,1460,,75,,7617,3500
332,665,417,131,,80,80,520,1964,,283,2062,12,145,296,4,217,13,241,168,3270,278,873,69,499,208,253,1446,,81,,7773,3370
330,686,385,142,,79,83,516,2099,,293,1960,12,137,294,5,232,13,274,195,3434,290,960,71,515,252,283,1443,,85,,9050,3440
325,672,401,130,,79,86,543,2208,,294,2146,11,137,282,4,246,13,292,209,3486,291,964,68,506,242,278,1483,,93,,8823,3560
318,645,389,125,,74,88,512,2151,,293,2180,10,145,264,4,248,12,299,211,3503,293,964,64,496,243,286,1493,,88,,8776,3800
307,640,346,123,,66,90,469,2124,,286,2179,10,157,233,4,238,12,285,180,3487,292,916,61,483,270,278,1469,,89,,8255,3740
299,626,362,121,,66,91,472,2087,,275,2049,10,156,210,4,227,11,289,138,3370,299,882,58,481,324,280,1450,,91,,7969,3760
296,609,365,123,,68,94,445,2099,,268,2097,12,144,197,4,220,10,300,134,3417,307,875,55,485,247,326,1509,,89,,8759,3670
332,608,360,131,,70,93,447,2158,,267,2194,12,124,193,5,220,10,278,139,3441,320,866,57,488,213,273,1585,,89,,8693,3510
339,606,384,145,,70,92,473,2207,,264,1949,12,117,194,5,223,10,290,152,3431,329,859,58,478,214,256,1619,,88,,8272,3610
345,599,370,140,,77,89,456,2223,,264,1802,11,119,196,5,224,10,315,165,3409,354,813,59,467,207,266,1575,,87,,7790,3650
355,594,358,134,,88,94,445,2224,,265,2070,11,129,203,6,222,11,328,158,3353,375,799,60,461,218,250,1530,,84,,7769,3620
358,564,386,129,,84,98,494,2239,,262,2026,13,134,211,6,222,11,338,157,3354,385,752,61,468,210,261,1463,,80,,8170,3380
363,525,380,128,,87,100,488,2233,,263,2041,13,134,215,6,228,10,323,168,3384,390,743,63,483,208,274,1420,,85,,8208,3310
366,539,379,151,,77,97,480,2325,2450,266,2039,13,128,216,7,243,11,375,192,3454,395,787,66,490,243,309,1462,8,93,,9395,3570
361,498,391,151,,74,93,506,2336,2383,266,2267,13,127,218,7,258,10,394,207,3448,400,809,67,481,229,288,1507,6,95,,9260,3490
352,478,394,153,,73,90,477,2324,2328,265,2265,13,128,222,7,262,11,398,219,3404,395,809,66,470,257,310,1468,5,95,,9017,3830
346,471,379,152,,69,94,449,2252,2312,260,2160,14,130,225,7,255,12,378,206,3317,392,772,64,449,272,300,1397,5,98,,8500,3840
334,464,390,154,,76,94,451,2187,2250,250,1970,13,131,221,7,243,12,378,169,3239,389,763,62,440,306,306,1383,10,105,,8501,3750
331,452,384,157,,69,103,425,2209,2172,244,2009,15,132,209,7,231,12,398,164,3245,385,724,61,445,264,366,1499,5,109,,9650,3610
365,441,405,155,,69,108,428,2220,2129,244,2122,16,134,198,7,228,13,369,161,3287,380,726,62,451,213,293,1556,4,109,,9319,3420
371,432,407,164,,67,107,453,2254,2183,241,1911,14,133,192,7,231,13,388,172,3286,388,744,63,449,202,300,1561,5,108,,8830,3330
375,419,414,159,,61,96,436,2268,2281,246,1787,13,128,182,8,230,13,411,182,3254,402,727,64,441,204,283,1503,4,103,,8435,3460
379,414,408,154,,65,89,441,2274,2447,253,2106,13,118,180,8,227,13,415,180,3202,411,771,65,437,210,291,1459,4,98,,8167,3430
377,417,414,152,,62,87,489,2277,2541,259,2026,15,114,188,9,226,13,432,182,3233,407,781,64,449,208,310,1404,4,93,,8269,3310
390,418,422,156,,73,92,482,2279,2580,262,1943,16,118,195,9,232,12,407,196,3333,399,795,66,484,209,310,1369,5,98,,7945,3000
401,441,448,184,,73,101,580,2328,2625,269,2106,15,129,198,10,248,12,470,218,3502,390,918,68,507,241,337,1371,5,98,,9144,3230
394,433,466,176,,69,103,543,2315,2582,271,2031,15,136,198,10,252,12,480,223,3512,399,785,68,513,229,360,1398,4,100,,8770,3300
372,425,418,168,,66,102,552,2286,2500,271,2136,15,136,193,10,248,11,490,229,3456,392,811,66,509,242,364,1384,6,97,,8834,3340
334,424,426,155,,63,98,526,2293,2413,263,1944,15,133,180,10,241,12,476,230,3298,392,821,62,500,272,343,1346,5,98,,7837,3350
320,411,432,145,,69,95,507,2232,2349,252,1948,14,127,170,9,241,12,467,196,3177,397,723,60,485,313,370,1354,11,106,,7792,3200
334,396,399,152,,61,99,488,2218,2260,243,1840,17,122,163,9,244,11,478,197,3139,401,771,59,478,241,419,1413,4,109,,8616,3090
400,380,415,163,,65,100,500,2178,2249,241,1689,17,121,162,9,246,12,431,200,3116,399,759,59,472,212,328,1450,4,110,,8517,3180
427,374,433,173,,70,98,507,2213,2371,241,1609,17,122,161,10,254,12,443,209,3084,424,800,61,461,209,320,1454,5,109,,7940,3140
423,376,413,166,,70,92,493,2208,2410,246,1973,16,125,159,10,255,12,459,222,3056,436,747,62,464,183,341,1435,4,104,,7545,3090
395,396,442,150,,71,91,489,2196,2545,251,2045,15,129,165,10,261,11,467,219,3030,440,794,64,451,203,303,1413,4,100,,7531,3110
373,399,425,142,,64,90,525,2200,2628,254,2090,19,130,166,10,263,11,473,207,3041,438,781,63,451,207,319,1374,4,94,,7665,2900
377,391,393,143,,66,92,529,2134,2579,257,1885,20,129,166,10,274,11,458,210,3102,450,807,66,464,195,331,1366,4,99,,7600,2700
391,385,443,171,,64,90,512,2150,2578,263,1940,20,125,159,10,285,11,512,209,3151,455,824,69,470,249,339,1398,6,105,2150,8443,2950
398,364,441,165,,64,89,516,2118,2504,264,2069,20,124,154,10,294,11,535,221,3196,462,853,69,461,237,371,1396,4,108,2156,8549,3070
393,351,403,161,,57,94,523,2096,2444,261,1999,20,121,152,10,297,12,536,234,3177,460,838,66,455,219,356,1366,4,109,2083,7986,3130
375,347,412,146,,55,101,491,2067,2419,252,1890,18,118,149,9,301,12,505,224,3101,460,724,60,434,260,365,1350,4,109,2005,7335,3100
371,336,401,134,,57,105,482,1961,2398,240,1784,19,113,140,9,298,12,496,225,3029,448,704,57,423,274,385,1361,7,114,1946,7287,3070
364,325,393,134,,53,112,472,1880,2311,231,1819,22,108,130,9,297,11,491,221,3006,451,705,56,419,239,467,1405,4,117,1952,7870,2800
400,316,400,139,,49,113,479,1799,2298,227,1551,20,104,121,9,301,11,452,235,3009,465,616,62,414,197,370,1452,2,122,1960,7838,2890
406,315,408,142,,47,109,496,1779,2426,224,1516,19,103,114,9,308,10,461,216,2991,477,605,65,407,188,347,1477,4,115,1992,7328,2840
407,317,407,133,,50,96,485,1772,2454,227,1989,17,102,109,9,308,10,476,224,2968,492,571,68,421,184,322,1540,2,108,2024,7259,2850
397,332,406,121,,50,91,479,1828,2591,232,2085,16,97,111,10,305,11,478,229,2905,494,671,73,409,185,346,1546,5,102,2057,6964,3030
389,332,399,115,,48,91,501,1874,2666,235,1984,21,93,111,10,309,11,475,229,2865,492,646,75,403,207,306,1516,5,97,2138,7271,2920
394,332,409,115,,50,94,485,1879,2644,236,1861,21,93,113,10,317,12,446,214,2823,485,650,73,408,198,347,1486,3,97,2213,6957,2650
399,332,429,132,,51,100,473,1940,2721,240,1871,24,94,108,10,326,12,478,230,2774,481,739,73,408,226,388,1530,4,95,2258,7608,2920
401,317,394,131,,45,102,527,1946,2676,238,1941,23,95,102,10,324,12,492,240,2670,478,780,70,395,219,342,1580,4,96,2270,7692,2770
396,306,419,128,,44,102,465,1943,2591,235,1765,20,92,97,10,319,12,479,243,2568,475,747,66,382,211,371,1592,4,94,2105,7255,2890
392,312,369,121,,37,104,444,1893,2508,226,1667,15,86,89,9,309,12,436,222,2436,465,713,63,366,225,382,1578,6,93,1985,6804,2830
384,310,351,113,,43,106,462,1830,2428,212,1681,15,80,83,9,306,11,428,189,2319,454,686,60,353,275,348,1611,10,98,1773,6655,2770
370,313,381,109,,42,116,415,1780,2334,201,1487,16,73,82,8,311,11,410,221,2243,447,676,58,350,225,421,1675,5,92,1823,7341,2780
380,319,364,107,,40,122,404,1755,2330,198,1364,16,69,87,9,315,11,376,217,2229,456,742,59,347,179,326,1739,4,88,1850,7603,2680
377,317,356,111,,37,122,440,1776,2449,198,1388,15,67,90,9,318,11,379,189,2210,467,718,57,338,185,308,1751,5,81,1935,7085,2730
378,303,376,106,,38,107,419,1770,2395,204,1684,14,68,86,10,317,10,393,197,2164,496,727,55,339,179,291,1731,5,77,1891,6625,2800
376,292,339,100,,41,98,389,1804,2453,211,1819,14,69,78,10,321,10,398,194,2091,507,697,56,324,187,288,1660,5,69,1878,6272,2810
373,291,334,101,,38,96,463,1833,2464,211,1742,17,70,74,10,320,10,399,195,2037,505,685,56,316,175,279,1623,4,59,1940,6576,2590
374,291,345,108,,37,101,477,1821,2436,210,1500,18,73,77,10,318,10,360,202,1992,507,715,56,315,168,287,1609,5,62,2088,6490,2440
379,291,325,123,3756,38,107,439,1875,2543,213,1632,20,76,79,10,313,12,405,197,1954,512,687,60,313,195,331,1667,4,63,2137,7649,2640
376,277,311,127,3867,36,112,456,1867,2505,211,1576,20,79,78,10,316,12,422,224,1866,518,735,58,304,197,305,1695,2,68,2201,7400,2700
371,258,298,114,3686,36,114,482,1848,2410,205,1416,16,78,75,9,314,12,397,204,1751,508,693,54,297,203,330,1661,4,66,2074,6912,2800
375,247,285,108,3490,33,117,424,1809,2319,195,1344,13,74,68,9,308,11,359,218,1639,507,678,50,291,191,311,1579,6,67,2006,6531,2690
360,238,271,105,3446,34,118,389,1755,2239,184,1476,13,70,61,8,297,11,356,212,1551,488,632,47,290,232,293,1581,9,69,1885,6486,2570
338,236,268,109,3357,32,126,413,1756,2119,175,1326,13,67,57,8,297,10,342,191,1498,477,645,46,296,209,387,1624,3,69,1909,7294,2420
352,242,275,121,3421,29,125,393,1757,2106,187,1405,16,66,59,8,305,10,325,217,1503,479,614,47,301,161,274,1695,3,68,1929,7556,2340
344,239,260,116,3447,28,122,381,1823,2195,186,1271,17,65,59,8,307,11,321,215,1496,491,597,46,297,162,262,1707,5,63,2003,7088,2490
330,229,265,111,3321,27,112,421,1839,2164,177,1486,14,62,57,8,311,10,339,183,1474,487,587,45,300,168,269,1671,3,63,2026,6952,2690
334,220,263,95,3198,28,112,396,1884,2228,181,1606,12,58,55,9,316,10,344,186,1425,492,585,48,282,164,274,1600,4,59,2061,6773,2710
333,212,241,95,3331,28,115,379,1949,2227,183,1635,14,58,58,9,328,10,340,191,1406,488,573,48,273,161,252,1510,2,54,2085,6917,2460
343,219,254,91,3360,30,118,447,1993,2156,184,1628,15,63,65,9,343,9,306,166,1388,484,586,50,276,158,267,1501,4,55,2150,7371,2310
350,235,255,100,3312,29,120,396,2130,2195,189,1795,19,72,73,10,337,10,355,177,1381,479,590,54,281,181,307,1556,5,58,2250,8221,2560
341,234,249,104,3270,28,123,404,2207,2122,188,1789,19,78,75,10,330,10,353,194,1320,474,599,52,278,168,293,1591,4,64,2350,7953,2660
320,223,229,104,3251,28,129,455,2234,2082,183,1595,17,79,74,10,320,10,344,180,1252,475,588,49,274,180,304,1606,3,63,2226,8027,2680
302,219,224,95,3213,28,132,392,2330,2070,173,1730,13,77,68,10,318,10,325,159,1196,463,539,44,271,165,293,1532,5,67,2053,7287,2750
287,209,206,93,2937,27,141,339,2385,2031,162,1665,11,76,67,10,316,10,321,158,1150,456,544,42,268,247,289,1604,8,74,1950,8076,2700
304,199,230,102,3152,30,160,370,2442,1961,153,1644,13,75,71,10,312,10,313,147,1108,459,548,42,261,195,416,1706,4,76,2039,8932,2670
370,195,224,106,3022,36,178,356,2475,1940,152,1480,15,78,83,10,312,10,283,166,1095,455,521,44,248,144,295,1850,5,75,2161,9433,2570
385,187,218,103,2931,44,186,362,2595,2053,150,1397,14,84,93,10,323,10,281,184,1089,479,517,44,234,151,256,1904,4,74,2201,9479,2740
365,178,230,96,2697,47,178,374,2732,2076,153,1644,13,92,96,11,324,10,312,159,1074,485,504,42,237,158,288,1923,5,76,2298,9200,2720
333,174,214,97,2626,47,180,372,2974,2218,158,1809,12,106,105,11,329,10,315,159,1055,486,559,45,227,155,280,1931,4,75,2404,9469,2570
313,173,226,107,2775,52,187,392,3210,2338,161,1782,13,117,119,12,337,11,316,187,1097,485,515,44,228,161,304,1921,9,70,2677,10014,2570
330,191,252,127,3030,65,201,442,3437,2369,166,1620,15,129,137,12,352,10,296,194,1166,510,568,45,239,161,309,1957,9,71,2902,11000,2710
367,213,287,141,3067,72,227,486,3788,2522,176,1935,17,143,162,13,380,11,349,196,1313,527,605,51,259,184,351,2094,9,76,3188,13008,2780
384,227,312,158,3349,77,249,471,4049,2579,182,1941,18,162,185,13,404,11,371,204,1382,541,646,54,276,201,387,2234,15,81,3331,13698,3000
385,233,310,163,3225,83,267,473,4217,2602,185,1964,20,177,203,12,412,11,373,213,1398,550,616,56,291,222,404,2262,14,85,3359,13894,3360
367,229,328,168,3175,86,285,488,4214,2624,181,1887,20,188,210,12,409,12,370,236,1332,554,582,56,293,233,403,2300,15,89,3219,13249,3470
347,222,341,175,3061,90,299,435,4148,2607,174,1705,21,193,212,11,401,12,367,210,1294,552,581,57,298,304,446,2376,21,94,3029,13974,3480
352,223,332,174,3089,91,315,444,4057,2466,166,1798,22,196,211,11,405,12,367,218,1286,556,584,60,310,255,503,2468,14,90,2945,15095,3490
390,230,369,178,3166,97,320,494,4031,2406,168,1751,23,202,211,11,417,12,361,251,1335,569,620,65,324,211,398,2522,9,89,2954,15201,3600
400,237,407,183,3193,100,319,468,4119,2544,168,1589,22,204,212,11,431,11,368,227,1354,592,632,66,330,203,393,2521,12,84,3087,14822,3620
392,243,385,192,3035,97,306,472,4214,2585,175,1998,22,205,213,11,432,12,404,251,1366,607,642,65,357,192,405,2517,12,85,3043,14538,3640
382,255,376,200,2901,103,300,509,4293,2799,186,2149,22,209,223,12,438,12,410,214,1347,613,656,68,362,215,395,2439,10,85,2968,14547,3450
383,275,392,192,2932,106,300,552,4334,2897,194,2068,26,215,236,11,435,13,424,245,1399,607,657,66,372,224,390,2363,12,80,2932,14407,3330
405,297,387,197,2981,118,303,524,4378,2834,201,2068,27,221,251,12,452,13,409,209,1506,619,667,68,383,206,417,2328,13,85,3015,14740,3180
