Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
169,119,192,81,1304,37,98,288,1946,1369,100,999,12,90,90,6,196,6,219,102,649,279,247,31,171,99,172,944,5,32,5902,1290
181,126,179,78,1286,43,98,318,1924,1325,102,988,12,89,94,6,202,5,209,75,694,286,263,31,174,90,187,899,4,35,5755,1250
205,144,205,78,1370,46,98,328,2009,1351,108,1054,14,83,100,6,206,4,235,93,812,289,259,33,184,102,212,953,4,36,6126,1250
200,150,211,83,1370,48,99,331,2063,1344,111,1066,14,82,100,6,211,4,241,100,818,301,274,32,184,106,210,967,5,40,6068,1200
191,151,187,83,1254,47,103,341,2103,1309,112,1052,15,86,101,5,210,4,234,76,803,306,266,32,182,96,206,952,5,36,5982,1300
182,155,189,81,1204,48,111,336,2124,1280,109,1003,13,92,107,5,209,5,224,104,770,312,257,32,177,103,231,937,7,38,5909,1400
173,151,195,82,1231,49,118,322,2113,1260,105,1002,13,93,108,5,204,5,220,93,756,305,240,32,173,122,205,961,9,39,6117,1350
176,145,182,91,1144,47,124,332,2091,1205,102,884,14,91,111,5,204,4,220,76,742,316,258,32,175,125,229,1014,5,41,6364,1330
198,141,197,98,1164,47,125,348,2068,1197,101,872,13,89,117,5,207,4,206,92,747,317,248,33,174,100,202,1047,5,41,6814,1240
203,142,198,96,1164,50,124,334,2097,1275,102,693,12,88,118,5,210,4,202,91,754,325,256,34,170,87,183,1064,6,39,6667,1350
196,148,189,92,1142,51,117,362,2135,1286,105,981,10,87,119,6,206,4,224,93,760,325,238,33,174,81,177,1091,6,40,6254,1290
190,160,196,93,1185,48,120,381,2157,1370,112,1114,10,87,121,6,207,4,224,101,757,325,253,36,172,90,180,1047,5,35,6198,1290
182,171,187,96,1144,43,120,370,2165,1424,116,1039,12,86,119,7,206,4,225,85,754,319,239,36,169,76,163,1013,6,33,6171,1200
172,172,177,104,1146,45,122,406,2127,1393,118,915,13,84,117,7,208,4,213,83,760,324,239,37,167,93,175,1001,5,31,5719,1100
158,173,190,101,1172,47,119,402,2234,1422,123,978,15,79,108,7,213,5,232,86,777,329,259,39,167,92,193,1026,5,34,6141,1130
146,168,196,104,1161,44,118,412,2289,1395,124,953,16,76,103,7,218,5,233,110,775,333,267,39,164,102,191,1032,4,36,5978,1170
143,163,173,96,1118,44,117,438,2305,1329,123,995,15,75,99,7,218,5,217,93,775,335,249,38,158,106,204,1003,4,38,5756,1220
146,162,185,99,1013,43,120,410,2240,1284,115,940,14,76,96,6,212,5,203,81,772,328,279,36,151,87,196,1001,6,42,5644,1250
147,156,178,97,1006,41,123,438,2214,1260,112,897,14,74,94,6,214,4,204,82,774,324,256,34,148,127,184,1043,11,42,5905,1210
152,151,178,104,1065,42,132,426,2205,1221,109,893,15,71,94,6,214,4,202,84,776,321,268,34,150,111,229,1087,3,44,6500,1260
177,148,179,111,1127,38,142,422,2236,1237,110,869,17,69,98,6,213,4,199,82,802,322,250,35,153,88,169,1115,5,45,6765,1190
184,147,172,108,1104,38,138,495,2293,1298,110,776,16,69,98,6,213,4,198,80,824,335,260,35,155,86,171,1149,6,43,6587,1190
173,146,185,106,968,37,127,454,2376,1289,110,1024,15,67,95,6,219,4,228,82,836,345,256,38,163,74,164,1171,5,41,6331,1060
162,152,172,101,1006,37,124,491,2420,1360,116,1066,15,66,91,6,214,4,236,102,837,356,264,43,168,79,166,1164,6,36,5951,1090
157,158,171,104,1062,35,123,531,2447,1394,120,1227,17,66,89,6,213,4,242,110,841,360,258,44,172,69,164,1109,4,35,5690,1060
155,162,177,104,957,33,126,555,2422,1359,124,1083,17,69,91,6,218,5,226,97,840,380,281,44,174,78,165,1089,4,34,5511,1000
159,168,170,105,1124,35,129,527,2562,1382,132,1136,20,74,93,6,222,5,256,89,856,377,245,43,174,87,190,1117,6,35,6016,1120
158,169,196,109,1017,34,131,566,2634,1355,135,1306,20,78,94,6,226,5,256,108,851,390,251,42,174,85,186,1108,5,33,5856,1120
156,170,185,110,883,34,129,608,2650,1337,136,1378,21,80,93,6,226,5,255,100,841,388,246,39,173,101,179,1093,5,32,5580,1170
157,172,178,113,956,29,126,558,2620,1336,130,1261,20,82,88,6,218,4,251,90,835,394,235,39,167,89,191,1048,6,33,5355,1250
156,166,183,109,1020,29,127,587,2617,1335,124,1202,21,80,82,6,206,4,249,81,833,384,240,40,166,114,195,1065,8,34,5574,1230
158,163,181,107,959,31,136,603,2583,1288,120,1199,23,76,80,6,201,5,247,101,829,381,236,42,172,109,224,1100,5,36,6153,1150
173,162,184,105,1037,31,141,587,2629,1271,123,1201,26,72,78,6,204,5,244,99,843,381,252,46,175,94,167,1120,3,37,6537,1120
179,161,210,103,988,32,138,628,2680,1326,125,1074,24,69,79,6,204,6,239,104,857,398,242,47,175,96,173,1144,6,39,6116,1090
172,162,186,99,948,28,125,634,2754,1337,130,1207,23,68,81,6,206,6,264,102,858,408,256,47,176,85,186,1145,5,39,5520,1070
169,174,191,96,998,28,119,609,2799,1440,140,1419,22,66,86,7,210,6,271,92,852,425,246,47,178,85,169,1125,3,39,5524,1090
168,182,213,96,971,27,118,652,2843,1491,146,1452,26,64,90,7,208,5,270,94,863,434,246,46,180,77,180,1080,3,37,5237,1000
172,182,188,102,963,27,120,641,2786,1462,149,1229,27,62,89,7,210,4,261,93,876,444,258,47,181,78,174,1048,4,40,5341,980
180,187,184,106,1073,29,124,658,2887,1500,153,1488,32,59,86,7,211,4,288,106,921,451,242,52,184,97,190,1101,4,40,5754,1010
182,189,213,105,1006,30,127,652,2940,1473,154,1507,33,58,83,7,213,4,297,103,926,443,248,54,183,99,193,1069,4,44,5479,1060
182,191,196,109,919,30,131,656,2932,1442,151,1462,31,57,83,7,209,4,301,114,911,442,245,53,179,105,211,1058,5,41,5203,1010
181,192,178,101,914,27,133,687,2913,1425,146,1455,30,56,76,7,207,5,292,97,893,429,266,52,174,96,202,1025,5,42,4842,1180
178,184,204,100,960,27,135,661,2861,1398,136,1362,29,55,72,7,205,5,291,93,871,421,252,50,171,126,190,1041,6,42,4986,1180
177,180,188,93,959,27,140,634,2784,1357,131,1249,31,54,74,7,201,5,293,101,849,403,264,49,175,101,225,1060,6,43,5688,1040
196,183,175,97,936,25,136,652,2766,1344,132,1227,34,59,73,7,204,5,295,111,852,410,248,50,177,84,170,1108,3,45,5687,940
199,180,216,97,911,25,129,678,2766,1389,132,1200,34,61,74,7,201,5,296,98,848,404,257,51,175,92,179,1141,4,49,5314,1060
192,181,200,95,937,26,117,657,2815,1416,139,1363,31,60,73,7,197,5,319,126,838,413,258,48,177,85,199,1108,5,49,4875,990
187,189,180,100,932,26,115,636,2865,1486,152,1519,29,55,72,7,188,5,323,109,820,410,251,49,174,91,175,1028,4,47,4915,1050
184,191,199,98,944,27,115,699,2860,1525,159,1531,31,54,76,7,188,5,314,122,826,407,255,48,171,96,170,991,4,44,4600,1000
184,191,189,106,915,26,117,664,2756,1479,163,1370,31,54,80,7,182,4,308,109,836,392,249,49,169,93,177,988,4,47,4401,900
188,192,184,102,1024,27,118,635,2826,1474,169,1580,33,52,81,7,174,4,337,119,881,383,242,54,170,93,199,973,5,44,4702,940
183,186,188,106,929,24,117,696,2816,1437,174,1543,33,51,81,7,172,4,344,111,877,385,233,54,169,103,196,961,3,45,4626,930
176,179,188,98,911,23,114,663,2808,1395,174,1536,34,49,80,7,169,4,345,126,841,375,240,53,166,119,202,927,5,40,4669,980
169,166,168,90,865,21,113,620,2742,1365,166,1394,29,47,71,7,168,4,333,94,791,372,240,50,162,99,218,896,5,41,4061,1050
163,155,174,92,825,20,112,666,2698,1355,155,1538,27,45,68,7,168,4,322,108,749,365,224,49,161,128,185,887,7,38,4338,1050
166,151,170,94,916,21,119,650,2632,1330,146,1328,30,45,66,7,166,4,309,107,718,363,249,47,163,129,221,880,4,44,4584,1030
189,157,158,95,861,22,125,611,2629,1342,144,1386,33,49,60,7,164,5,297,111,710,367,250,48,165,87,173,892,3,48,5087,1030
195,157,190,92,952,23,122,604,2624,1416,143,1247,32,51,59,7,159,4,293,110,705,359,256,48,166,91,181,911,5,52,4796,920
192,158,165,84,883,23,107,647,2649,1417,144,1479,30,51,56,8,153,4,307,111,696,359,263,47,165,100,172,910,4,49,4366,960
189,155,152,86,886,23,99,612,2670,1480,154,1682,29,49,61,8,152,4,311,100,682,354,243,48,165,87,186,848,5,46,4301,920
187,152,174,85,927,22,94,600,2655,1520,157,1763,34,49,66,9,147,4,304,118,685,349,258,47,165,97,176,782,3,39,4003,850
187,147,157,87,841,19,94,669,2577,1480,159,1401,34,48,70,9,153,3,302,106,685,357,238,47,165,104,158,772,3,43,3584,840
190,151,157,90,843,18,95,655,2632,1487,164,1461,36,47,66,9,158,4,327,106,708,360,233,49,166,97,203,804,4,46,4124,900
186,148,169,92,928,18,95,609,2650,1453,165,1475,37,47,65,9,161,4,323,113,691,366,232,48,164,126,200,802,4,52,3879,890
179,148,159,90,845,21,95,683,2645,1407,161,1529,35,46,64,9,154,4,320,105,652,342,222,48,160,117,192,779,4,52,3728,880
169,145,144,88,863,24,97,633,2623,1363,151,1385,30,41,61,9,147,4,312,109,607,332,233,48,156,125,203,785,5,52,3605,1000
160,136,134,86,776,22,98,549,2571,1350,141,1373,28,39,58,9,147,4,297,114,578,302,215,48,154,156,196,800,8,54,3824,940
160,127,139,92,815,21,102,638,2488,1312,134,1394,31,40,59,9,147,4,290,106,565,303,219,48,156,126,219,819,2,57,4078,920
174,123,142,91,790,18,102,630,2404,1327,133,1185,34,42,57,9,149,4,282,113,583,300,231,49,158,109,162,818,3,57,4410,910
181,121,137,93,737,20,97,549,2379,1407,133,1146,32,42,57,9,141,5,279,105,592,313,241,48,158,104,152,833,4,54,4064,920
181,116,144,87,803,20,85,641,2393,1381,135,1279,27,41,55,9,138,5,301,106,584,319,238,45,161,111,163,820,4,55,3643,900
187,119,125,87,851,20,82,623,2419,1432,143,1436,22,42,58,9,132,5,306,101,565,323,231,44,161,110,171,759,2,54,3605,780
187,120,129,85,891,22,79,587,2409,1455,148,1434,25,43,61,9,135,5,297,124,556,313,223,41,159,90,151,724,2,56,3458,830
186,118,133,86,777,19,78,621,2348,1429,145,1264,25,44,64,9,131,5,277,111,552,312,232,41,155,112,152,708,1,51,3262,760
180,117,120,90,822,20,76,644,2405,1461,147,1390,27,47,56,9,127,5,298,116,563,307,206,43,149,110,178,747,2,53,3741,810
176,115,125,95,843,18,76,619,2428,1457,143,1392,29,48,52,9,126,5,304,115,549,314,198,43,145,107,175,754,2,54,3581,790
177,118,112,100,832,21,80,634,2407,1381,136,1395,28,47,51,9,125,5,298,119,516,307,196,43,141,129,172,744,2,53,3617,840
183,115,101,94,747,19,84,611,2387,1320,123,1448,25,44,48,8,117,5,291,103,481,290,192,40,139,119,175,706,4,50,3391,950
181,109,106,90,748,18,88,598,2332,1308,111,1406,23,42,49,8,103,5,273,124,464,274,192,39,137,136,188,731,5,49,3356,900
181,105,118,90,770,20,93,575,2257,1293,106,1375,26,41,51,8,102,4,267,118,459,269,181,39,136,137,179,729,2,53,3869,910
188,102,118,99,761,20,91,601,2201,1342,107,1261,28,40,50,8,105,4,258,111,477,271,192,38,134,107,154,761,2,57,3960,810
184,99,108,102,724,26,87,603,2186,1462,106,1201,28,39,49,8,105,4,243,136,487,272,191,38,132,94,169,746,3,57,3944,810
168,96,119,105,717,23,75,560,2187,1422,107,1411,26,38,47,8,105,4,260,125,475,279,190,37,131,100,138,749,3,54,3616,770
154,96,104,99,702,22,72,601,2170,1463,116,1444,24,38,45,8,98,4,263,113,452,271,180,39,127,105,155,714,3,52,3422,750
151,96,101,94,680,20,71,601,2165,1470,120,1532,30,39,47,8,95,4,259,117,437,267,180,39,123,94,151,674,3,47,3202,790
159,98,101,89,611,21,73,594,2093,1441,122,1468,29,40,52,8,87,4,236,102,427,263,193,39,118,94,145,659,2,45,3075,700
178,105,101,91,690,20,74,615,2161,1463,126,1522,28,41,46,8,91,4,263,111,430,266,163,40,113,119,172,677,3,45,3636,760
186,107,102,89,739,17,73,598,2175,1436,124,1455,28,40,45,8,98,4,255,103,416,265,170,39,109,105,167,664,3,50,3424,740
183,104,103,83,708,17,69,560,2157,1378,117,1433,27,38,44,7,102,4,245,114,395,258,168,37,106,111,162,657,1,53,3112,770
171,95,101,80,716,19,65,574,2080,1293,107,1393,23,36,41,7,99,4,240,98,377,249,150,36,105,128,172,619,3,54,3046,860
160,88,82,81,603,21,64,562,2016,1269,94,1357,22,35,39,7,96,4,232,107,370,237,147,35,104,148,179,644,4,53,3136,900
154,86,82,84,606,19,69,505,1943,1242,88,1270,23,37,41,7,95,3,218,105,364,232,141,36,101,114,184,660,3,52,3510,840
164,88,83,87,641,17,76,545,1910,1298,89,1341,24,39,40,7,101,4,206,100,376,230,162,38,101,100,169,682,1,49,3713,740
163,89,82,88,695,15,74,527,1916,1381,90,1225,23,40,40,7,98,4,193,112,386,237,164,38,102,105,149,685,3,49,3629,750
154,86,84,85,662,17,66,519,1937,1299,87,1352,19,39,41,8,96,4,217,107,382,235,155,35,105,102,156,680,2,47,3158,790
152,89,76,83,720,18,62,544,1963,1304,94,1384,16,36,39,8,91,4,203,98,362,232,165,34,108,93,154,666,2,46,2880,730
145,89,67,76,586,18,60,553,1966,1304,97,1416,22,36,40,8,92,4,198,111,353,215,157,31,107,81,140,648,2,43,2877,720
141,85,65,79,603,19,60,549,1910,1311,96,1296,23,35,46,8,90,4,184,110,345,216,165,30,102,103,154,647,4,45,2747,720
136,81,84,76,588,22,59,541,1968,1407,99,1460,25,37,41,8,91,4,201,96,347,215,148,32,96,122,179,658,4,46,3110,640
132,76,71,80,615,21,59,579,1969,1410,96,1330,24,37,41,8,90,4,196,106,330,207,140,32,91,112,143,657,2,46,3114,670
134,74,60,76,610,18,60,519,1930,1358,89,1475,21,35,42,8,90,4,187,100,304,197,151,30,88,110,167,629,2,45,2898,690
140,74,70,74,591,16,61,517,1877,1286,80,1430,16,32,39,8,83,4,176,93,277,184,131,28,88,102,167,597,4,43,2576,720
136,73,64,73,583,16,64,511,1821,1250,70,1261,14,30,37,8,77,3,169,90,263,182,127,27,89,130,145,605,3,46,2549,670
131,71,64,73,587,17,68,479,1751,1208,69,1296,16,29,40,8,80,3,165,91,261,175,130,27,88,89,200,625,2,47,3238,720
135,73,62,76,558,17,72,505,1713,1230,69,1193,20,30,39,8,87,4,151,104,276,176,131,29,85,88,166,638,3,50,3456,680
130,72,83,72,585,19,69,503,1712,1314,69,1021,19,29,38,8,93,3,147,119,289,188,133,29,84,96,161,652,2,49,3220,700
123,69,68,70,590,20,62,468,1724,1270,67,1212,16,29,39,8,88,3,166,108,293,184,125,26,85,90,167,661,1,53,2765,680
126,67,61,65,601,20,62,484,1747,1321,74,1411,13,30,39,8,81,3,163,86,291,187,141,24,86,76,143,625,4,53,2742,620
125,65,62,70,604,17,60,525,1741,1334,76,1322,17,31,40,8,77,3,156,92,303,188,134,22,85,67,142,579,1,48,2709,660
124,65,66,76,510,16,57,469,1702,1331,76,1266,18,31,44,8,73,3,146,99,322,194,132,22,81,74,155,561,1,45,2613,630
122,71,60,80,582,15,50,514,1772,1358,80,1384,21,30,44,8,76,4,172,90,360,199,138,26,78,83,167,587,2,46,3109,710
116,71,49,85,584,16,47,527,1791,1322,79,1350,22,29,44,8,76,4,163,107,357,195,132,27,74,87,167,575,2,48,2880,630
113,69,55,81,601,14,48,471,1788,1260,73,1279,20,27,45,8,74,4,159,95,325,189,129,26,70,74,180,552,2,45,2701,680
112,65,57,79,570,18,54,455,1741,1181,65,1298,15,24,40,8,70,4,145,102,272,185,133,25,69,96,155,525,3,41,2323,770
111,62,58,68,555,19,57,444,1700,1154,57,1155,13,22,39,8,68,4,140,92,245,173,129,25,69,116,167,554,4,40,2532,700
115,60,51,67,523,17,63,411,1648,1136,55,1133,15,23,41,8,70,4,140,86,236,174,128,24,70,74,200,,4,45,3066,650
129,62,60,69,509,,69,,1622,1171,58,1154,17,25,42,8,,4,133,97,250,175,130,26,70,83,188,,2,,3329,630
,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,
